Entity,COR,INC,PAR,SPU,MIS,IGN
"Trophy Lalique",0,0,0,0,0,1
"Garden",0,0,0,0,0,1
"Thialf",0,0,0,0,0,1
"the al Khair Mosque",0,0,0,0,0,1
"Ronald Reagan WashingtonInternational Airport",0,1,0,0,0,0
"the International Tennis Center",0,0,0,0,0,1
"the Rosenbaum House",0,0,0,0,0,1
"La Scala",0,1,0,0,0,0
"the WestSide Highway",0,0,0,0,0,1
"White House",0,1,0,0,0,0
"World Trade Center",0,0,0,0,0,1
"Mall",0,1,0,0,0,0
"Radisson Hotel",0,1,0,0,0,0
"Central Park",0,1,0,0,0,0
"theCanadian Museum of Civilization",0,0,0,0,0,1
"theCherating Cultural Complex",0,0,0,0,0,1
"The Legend Resort",0,1,0,0,0,0
"the White House Rose Garden this morning",0,0,0,0,0,1
"the Royal Calcutta Golf Club",0,0,0,0,0,1
"the GowanusExpressway",0,0,0,0,0,1
"theFilm Forum",0,0,0,0,0,1
"Maison de Ville",0,0,0,0,0,1
"SAN A",0,0,0,0,0,1
"St Petersburg",0,0,0,0,0,1
"Capitol",0,1,0,0,0,0
"Club Med",0,1,0,0,0,0
"the Lincoln Bedroom",0,0,0,0,0,1
"Jalan Gambus",0,1,0,0,0,0
"Wrigley Field",0,0,0,0,0,1
"the TargetCenter",0,0,0,0,0,1
"Wells BDDP",0,1,0,0,0,0
"the Renaissance Towerin Florence",0,0,0,0,0,1
"theWashington Monument",0,0,0,0,0,1
"Muthaiga Golf Club Litton",0,0,0,0,0,1
"I'd Rather Be Attendingan Embassy Reception",0,0,0,0,0,1
"Met",0,1,0,0,0,0
"the French Quarter",0,0,0,0,0,1
"the White House",0,0,0,0,0,1
"the FrederickDouglass Circle",0,0,0,0,0,1
"Wells",0,1,0,0,0,0
"79th Street",0,1,0,0,0,0
"Bistro",0,1,0,0,0,0
"Continental Arena",0,0,0,0,0,1
"Vatican",0,1,0,0,0,0
"Wilsononstage",0,0,0,0,0,1
"the Media Lab",0,0,0,0,0,1
"the Metropolitan Museum of Art",0,0,0,0,0,1
"the WinterGames",0,0,0,0,0,1
"Madison Avenue",0,0,0,0,0,1
"Cherating",0,1,0,0,0,0
"PresspassStadium",0,0,0,0,0,1
"the Kamukunji Grounds",0,0,0,0,0,1
"the Oval Office",0,0,0,0,0,1
"Wilson Dam",0,1,0,0,0,0
"Broadway's 38theaters",0,0,0,0,0,1
*TOTAL*,0,18,0,0,0,37
