Entity,COR,INC,PAR,SPU,MIS,IGN
"BPA",0,0,0,0,1,0
"PSLAV",0,1,0,0,0,0
"Endeavor",1,0,0,0,0,0
"MS 13",0,0,0,1,0,0
"Biscaglia",0,1,0,0,0,0
"Wizard",0,1,0,0,0,0
"the "" Hancock Red """,0,0,0,1,0,0
"F 5",0,0,0,1,0,0
"al-Jazeera",0,0,0,0,1,0
"The CH 47 Chinook",0,0,1,0,0,0
"Antonovs",0,0,1,0,0,0
"iPad",0,0,0,1,0,0
"Notting Hill",0,0,0,0,1,0
"737 800",0,0,0,1,0,0
"Ariane",1,0,0,0,0,0
"The Simple Life",0,0,0,0,1,0
"Dog",0,1,0,0,0,0
"Traveler",0,0,0,1,0,0
"AU",0,1,0,0,0,0
"A Whale",0,0,0,1,0,0
"Blue Star",0,1,0,0,0,0
"Cabbage Patch",0,1,0,0,0,0
"Destiny",1,0,0,0,0,0
"Piano",0,0,0,1,0,0
"Torgelow",1,0,0,0,0,0
"the Deep Sea Tsunami Detection Equipment 2",0,0,1,0,0,0
"Challengerspace",0,1,0,0,0,0
"Redline",1,0,0,0,0,0
"Air France Flight 447",0,0,0,1,0,0
"Qur'an",0,0,0,0,1,0
"Xsara",0,0,0,1,0,0
"NAACP Image Award",0,0,0,0,1,0
"Endeavour",1,0,0,0,0,0
"Pramoni",0,1,0,0,0,0
"Amur",0,1,0,0,0,0
"Helios 2A",1,0,0,0,0,0
"Su 24",0,0,0,1,0,0
"Sonntags-Blick",0,0,0,0,1,0
"Air Force One",0,0,0,1,0,0
"MV Courier",0,0,0,1,0,0
"Raccoon",0,0,1,0,0,0
"Endeavourhas",0,1,0,0,0,0
"Dextre",1,0,0,0,0,0
"The S 300",0,0,1,0,0,0
"F15",0,0,0,1,0,0
"Dove",0,0,0,1,0,0
"Tamiflu",1,0,0,0,0,0
"Buddhism",0,0,0,0,1,0
"Topol-M",0,0,0,0,1,0
"Crittercam",0,0,0,0,1,0
"Eagle",0,1,0,0,0,0
"Viread",0,0,0,1,0,0
"Chandrayaan 1",0,0,0,1,0,0
"Columbiadisintegred",0,0,0,1,0,0
"Qurans",0,0,0,1,0,0
""" Rolling Thunder",0,0,0,1,0,0
"Dolphin",0,0,0,1,0,0
"Soyuz",0,1,0,0,0,0
"Arg",0,1,0,0,0,0
"the Shinsei Maru No. 3",0,0,1,0,0,0
"Sopranos",0,0,0,0,1,0
"Quagga Zebra",0,1,0,0,0,0
"Transformers",0,0,0,1,0,0
"Scud",0,0,0,1,0,0
"E2 K",0,0,0,1,0,0
"AK 47s",0,0,0,1,0,0
"U2 3D",1,0,0,0,0,0
"AC 130",0,0,0,1,0,0
"Akash",1,0,0,0,0,0
"the Shuttle Columbia",0,0,0,1,0,0
"Mars Odyssey",0,1,0,0,0,0
"P 50",0,0,0,1,0,0
