Entity,COR,INC,PAR,SPU,MIS,IGN
"a middle - aged carpenter",0,0,0,0,1,0
"Ellwood",0,0,1,0,0,0
"Al Qaeda",0,0,1,0,0,0
"Volesky",1,0,0,0,0,0
"Abboud Qanbar Arabic",0,0,1,0,0,0
"God",0,0,0,1,0,0
"Gen. Townsend",0,0,0,1,0,0
"Saddam Hussein",1,0,0,0,0,0
"Robert Ford",0,0,1,0,0,0
"Hollande",0,0,1,0,0,0
"Ibrahim al Jaafari",0,0,1,0,0,0
"Russell",1,0,0,0,0,0
"his spiritual adviser",0,0,0,0,1,0
"Rahman Farms",0,0,0,1,0,0
"Ibrahim al - Jaafari",0,0,0,0,1,0
"Travis Caughlin",0,0,1,0,0,0
"Andrew Burns",0,0,1,0,0,0
"Da",0,0,1,0,0,0
"Ramadan",0,1,0,0,0,0
"Inherent Resolve Commander",0,0,0,0,1,0
"Dabiq",0,1,0,0,0,0
"Boris Johnson",1,0,0,0,0,0
"one child",0,0,0,0,1,0
"the Foreign Secretary",0,0,0,0,1,0
"Karim Wasifi",1,0,0,0,0,0
"Iraqi Prime Minister ‎ Haider al - Abadi",0,0,0,0,1,0
"A police officer",0,0,0,0,1,0
"the lead Syrian commander for AQI ' s logistics",0,0,0,0,1,0
"Dae",0,0,0,1,0,0
"Mohammed",1,0,0,0,0,0
"Hassan",0,0,1,0,0,0
"Darayya",0,1,0,0,0,0
"his",0,0,0,0,1,0
"Karim",1,0,0,0,0,0
"Isiah L. Booker",0,0,1,0,0,0
"MR KIRBY",0,0,0,0,1,0
"A spokesman",0,0,0,0,1,0
"Burns.",0,0,1,0,0,0
"Stephen J. Townsend",0,0,1,0,0,0
"Johnson",0,0,1,0,0,0
"Isiah L . Booker",0,0,0,0,1,0
"Ambassador Saperstein",0,0,1,0,0,0
"John J. Thomas",0,0,1,0,0,0
"Peter Cook",0,0,1,0,0,0
"the Minister",0,0,0,0,1,0
"the Prime Minister - designate , Haider al - Abadi",0,0,0,0,1,0
"George Haswani",1,0,0,0,0,0
"Federica Mogherini",0,0,1,0,0,0
"Abu Haidar",1,0,0,0,0,0
"Assad",1,0,0,0,0,0
"Sadiq",1,0,0,0,0,0
"Ibrahim Al Ja",0,0,1,0,0,0
"Imad Fakhoury.",0,0,1,0,0,0
"Rupert Colville",1,0,0,0,0,0
"Zahid Mohammed Rawi",1,0,0,0,0,0
"One man",0,0,0,0,1,0
"Omar",1,0,0,0,0,0
"Tabqa",0,1,0,0,0,0
"Saddam",1,0,0,0,0,0
"Ghadiya",1,0,0,0,0,0
"D. C.",0,0,0,1,0,0
"Bashar al Assad",0,0,1,0,0,0
"Al Qaida",0,0,0,1,0,0
"A man",0,0,0,0,1,0
"Badran Turki Hishan",0,0,1,0,0,0
"Skype",0,0,0,1,0,0
"A non - governmental security analyst",0,0,0,0,1,0
"Nebuchadnezzar II",0,0,1,0,0,0
"A local physician",0,0,0,0,1,0
"Madaya",0,1,0,0,0,0
"Tony Blinken",0,0,1,0,0,0
