Entity,COR,INC,PAR,SPU,MIS,IGN
"Auschwitz",0,1,0,0,0,0
"al-Jazeera",0,0,0,0,1,0
"Ovcara",0,1,0,0,0,0
"Notting Hill",0,0,0,0,1,0
"Guantanamo Bay",0,1,0,0,0,0
"Date Doctor",0,0,0,0,1,0
"Urbi et Orbi",0,0,0,0,1,0
"the Smithsonian Castle",0,0,1,0,0,0
"Saint Patrick 's Cathedral",0,0,1,0,0,0
"Nevsky Prospekt",0,1,0,0,0,0
"Haifa Street",0,1,0,0,0,0
"Yadana",0,1,0,0,0,0
"Mall",0,1,0,0,0,0
"the Baghdad Convention Center",0,0,1,0,0,0
"Deir al Balah",0,0,0,0,1,0
"the Park Avenue Armory",0,0,0,1,0,0
"Paya Lebar Air Base",0,0,0,1,0,0
"Baghdad International Airport early Sunday",0,0,1,0,0,0
"Ghazala Gardens",0,1,0,0,0,0
"Parchin",0,1,0,0,0,0
"the Prudential Building",0,0,0,1,0,0
"the Sigou Coal Mine",0,0,0,1,0,0
"Taba Hilton",0,0,0,0,1,0
"Wall Street Journal",0,0,0,0,1,0
"Wolf Trap National Park",0,1,0,0,0,0
"the Princess Juliana International Airport",0,0,1,0,0,0
"the World Trade Center",0,0,0,1,0,0
"Bird 's Nest Stadium",0,1,0,0,0,0
"The Volganeft 139",0,0,0,1,0,0
"The Superdome",0,1,0,0,0,0
"Blades Of Glory",0,0,0,0,1,0
"Beijing International Airport",0,1,0,0,0,0
"Heathrow Airport Thursday",0,0,1,0,0,0
"MoveOn.org",0,0,0,0,1,0
"the Myitsone Dam",0,0,1,0,0,0
"the Queensland Museum",0,0,0,1,0,0
"Lublin synagogue",0,0,0,1,0,0
"Emmy",0,0,0,0,1,0
"the Abdel Qadir Gilani Mosque",0,0,0,1,0,0
"Culture Minister",0,0,0,0,1,0
"the US Army Kwajalein Atoll USAKA Reagan Missile Test Site",0,0,0,1,0,0
"Pepsi",0,0,0,0,1,0
"Kabul Polytechnic University",0,1,0,0,0,0
"Soyuzcapsule",0,0,0,0,1,0
"iTunes",0,0,0,0,1,0
"the Empire State Building New York City 's",0,0,0,1,0,0
"the Kaman Post",0,0,0,1,0,0
"Crank That",0,0,0,0,1,0
"Poppy Flowers",0,0,0,0,1,0
"France 3",0,0,0,0,1,0
"Canal",0,0,0,0,1,0
"the John F. Kennedy Hospital",0,0,0,1,0,0
"Shinsei Maru No. 3",0,0,0,0,1,0
"the Beijing Zoo",0,0,1,0,0,0
"the White House",0,0,0,1,0,0
"Olympic Stadium",1,0,0,0,0,0
"Manx Gaelic",0,0,0,0,1,0
"the John F. Kennedy Presidential Library and Museum",0,0,1,0,0,0
"M By Madonna",0,0,0,0,1,0
"O'Hare International Airport",0,1,0,0,0,0
"the Lincoln Memorial",0,0,0,1,0,0
"Ferrari Enzo",0,0,0,0,1,0
"Charles De Gaulle",1,0,0,0,0,0
"the Adi Abeto",0,0,0,1,0,0
"Saint Peter 's Square Wednesday",0,0,0,1,0,0
"National Wildlife Refuge",0,0,0,0,1,0
"El Maan",0,0,0,1,0,0
"the Delray Beach International",0,0,1,0,0,0
"Alamodome",0,1,0,0,0,0
"Time Was - Time Is",0,0,0,0,1,0
"the Ministry of Women 's Affairs",0,0,1,0,0,0
"Nahal Oz",0,1,0,0,0,0
"the Al Nida Mosque",0,0,0,1,0,0
"the Abu Shoaib madrassa",0,0,0,1,0,0
"GDP",0,0,0,0,1,0
"the Berlin Wall",0,0,0,1,0,0
"Convention Palace",0,1,0,0,0,0
"Washington D. C. Memorial",0,0,1,0,0,0
"Shi'ite mosque",0,0,0,1,0,0
"the Abu Ghraib",0,0,1,0,0,0
"Stadium of Light",0,0,0,0,1,0
"Operation Colombo",0,0,0,0,1,0
"Maariv",0,0,0,0,1,0
"beatboxing",0,0,0,0,1,0
"al Azhar Mosque",0,0,0,1,0,0
"Christopher Hotel",0,0,0,0,1,0
"Daily Mirror",0,0,0,0,1,0
"the Kennedy Space Center",0,0,0,1,0,0
"Eden Gardens",0,1,0,0,0,0
"Tiananmen Square",0,1,0,0,0,0
"Beijing Jiaotong University",0,0,1,0,0,0
"Sonntags-Blick",0,0,0,0,1,0
""" Jama Masjid "" Tuesday morning",0,0,0,1,0,0
"Topol-M",0,0,0,0,1,0
"the Basilica of the Annunciation",0,0,1,0,0,0
"Judaism",0,0,0,0,1,0
"Hospitals",0,0,0,1,0,0
"Nature Geoscience",0,0,0,0,1,0
"Camp David",1,0,0,0,0,0
"Nanhai Park just seconds",0,0,1,0,0,0
"Mammy",0,1,0,0,0,0
"Endeavor",0,0,0,0,1,0
"the Khurul Monastery",0,0,1,0,0,0
"WFP",0,0,0,0,1,0
"Fort Hood",0,1,0,0,0,0
"mbalax",0,0,0,0,1,0
"the Houses of Parliament",0,0,0,1,0,0
"the American Hospital",0,0,0,1,0,0
"Panama Canal",0,0,0,0,1,0
"the Great Hall of the Supreme Court",0,0,0,1,0,0
"El~Commercio",0,0,0,0,1,0
"Pul-e-Charkhi",0,0,0,0,1,0
"World Trade Center",0,0,0,1,0,0
"Our Lady of Perpetual Help Basilica",0,0,1,0,0,0
"Vase with Flowers",0,0,0,0,1,0
"Newseum",0,0,0,0,1,0
"Tamiflu",0,0,0,0,1,0
"Notre Dame Cathedral",0,0,0,0,1,0
"YouTube",0,0,0,0,1,0
"hip-hop",0,0,0,0,1,0
"the White House Monday",0,0,1,0,0,0
"95 million Colosseum",0,0,1,0,0,0
"Imperial War Museum",0,0,0,0,1,0
"a Marriott Hotel",0,0,0,1,0,0
"Port",0,1,0,0,0,0
"the Basra International Bank",0,0,1,0,0,0
"al Rasul al Aadham mosque",0,0,0,1,0,0
"Policharki Prison",0,1,0,0,0,0
"Gunsmoke",0,0,0,0,1,0
"Style Icon of the",0,0,0,0,1,0
"Papa 's Got a Brand New Bag",0,0,0,0,1,0
"Groundhog Day",0,0,0,0,1,0
"Semana",0,0,0,0,1,0
"San Petronio",0,0,0,0,1,0
"Dodge",0,0,0,0,1,0
"Pearl Harbor",0,1,0,0,0,0
"Pork Store",0,0,0,0,1,0
"The English Roses",0,0,0,0,1,0
"Mars Lander Phoenix",0,0,0,0,1,0
"Camp Sara",0,1,0,0,0,0
"Undercover Brother",0,0,0,0,1,0
"Space Station Saturday",0,0,0,0,1,0
"the Khyber Pass",0,0,0,1,0,0
"The M 1 motorway",0,0,0,1,0,0
"Frankenstadion",0,0,0,0,1,0
"Los Glacieres National Park",0,1,0,0,0,0
"the State Guest House",0,0,1,0,0,0
"Nobel-Prize",0,0,0,0,1,0
"Heathrow Airport",1,0,0,0,0,0
"For Your Eyes Only",0,0,0,0,1,0
"Al Aqsa Mosque",0,0,1,0,0,0
"Forbes Magazine",0,0,0,0,1,0
"the National Botanical Gardens",0,0,1,0,0,0
"Revolution Square",0,1,0,0,0,0
"the National Mall Sunday",0,0,1,0,0,0
"When We Left Earth :",0,0,0,0,1,0
"Al Dhafra Air Base",0,1,0,0,0,0
"the Diaoyu State Guest House",0,0,1,0,0,0
"17th Street",0,1,0,0,0,0
"Highways",0,0,0,1,0,0
"Qur'an",0,0,0,0,1,0
"International Space Station",1,0,0,0,0,0
"Panama Canal",1,0,0,0,0,0
"the Oil Ministry",0,0,0,1,0,0
"Operation Dagger Saturday",0,0,1,0,0,0
"the Noble Sanctuary",0,0,0,1,0,0
"Georgia Dome",0,0,0,0,1,0
"P 50",0,0,0,1,0,0
"Eagle Base",0,1,0,0,0,0
"Hadassah",0,0,0,0,1,0
"Vatican Thursday",0,1,0,0,0,0
"Grand Canyon National Park",0,1,0,0,0,0
"Literature",0,0,0,0,1,0
"the U. S. Capitol",0,0,1,0,0,0
"Irwindale Speedway",1,0,0,0,0,0
"the Adi Abeto prison",0,0,1,0,0,0
"Sidnaya",0,0,0,0,1,0
"Redline",0,0,0,0,1,0
"Flanders",0,0,0,0,1,0
"Twitter",0,0,0,0,1,0
"the White House Friday",0,0,0,1,0,0
"the Tomb of the Unknowns",0,0,0,1,0,0
"Ills",0,0,0,0,1,0
"Group-B",0,0,0,0,1,0
"Cajun music",0,0,0,0,1,0
"the King Abdallah University of Science and Technology Saudi Arabia 's",0,0,0,1,0,0
"Blueberry Hill",0,0,0,0,1,0
"Palme d'Or",0,0,0,0,1,0
"La Peineta stadium",0,0,0,1,0,0
"mon Isle",0,0,0,0,1,0
"the Baku Tbilisi Ceyhan Pipeline",0,0,0,1,0,0
"Washington Monument",0,0,0,0,1,0
"Secrets & Lies",0,0,0,0,1,0
"the Delray Beach Tennis Center",0,0,0,1,0,0
"Ramstein Air Base",0,1,0,0,0,0
"Dodger Stadium",0,1,0,0,0,0
"Forbes",0,0,0,0,1,0
"english",0,0,0,0,1,0
"Kommersant",0,0,0,0,1,0
"Creole",0,0,0,0,1,0
"Abu Ghraib",1,0,0,0,0,0
"Bagram Air Base",0,1,0,0,0,0
"Capitol",1,0,0,0,0,0
"Saint Peter 's Basilica",0,0,1,0,0,0
"Pul e Charkhi",0,0,0,1,0,0
"Stade Général Seyni Kountché",0,0,0,0,1,0
"Pentagon",0,1,0,0,0,0
"Nevirapine",0,0,0,0,1,0
"Enzos",0,0,0,0,1,0
"Louis Armstrong International Airport",0,1,0,0,0,0
"the Paris Val De Grace",0,0,0,1,0,0
"St. Peter 's Square",0,0,0,1,0,0
"Central Cemetery",0,1,0,0,0,0
"Jeep",0,0,0,0,1,0
"the Washington Monument",0,0,1,0,0,0
"the Antwerp World Diamond Center",0,0,1,0,0,0
"Okie Dokie Stomp",0,0,0,0,1,0
"Malwiya mosque tower",0,0,0,1,0,0
"International Space Station",0,0,0,0,1,0
"the Perito Moreno Glacier",0,0,0,1,0,0
"Web",0,0,0,0,1,0
"the Al Marwa",0,0,0,1,0,0
"The Hong Kong Observatory",0,0,1,0,0,0
"Vatican",0,1,0,0,0,0
"Smells Like Teen Spirit",0,0,0,0,1,0
"the Water Cube",0,0,0,1,0,0
"mosques",0,0,0,1,0,0
"Plan Colombia",0,0,0,0,1,0
"the "" Hancock Red """,0,0,0,1,0,0
"Camp Buehring",0,1,0,0,0,0
"mosque",0,1,0,0,0,0
"the National Mall",0,0,1,0,0,0
"British pound",0,0,0,0,1,0
"Irwindale Speedway",0,0,0,0,1,0
"Camp Pendleton",0,1,0,0,0,0
"the Paris metro",0,0,0,1,0,0
"Guantanamo",0,1,0,0,0,0
"Happy Together",0,0,0,0,1,0
"THE Warden of a Penitentiary",0,0,0,1,0,0
"the Notre Dame Cathedral",0,0,1,0,0,0
"Arlington National Cemetery",0,1,0,0,0,0
"Crittercam",0,0,0,0,1,0
"Saint Barthelemy",0,1,0,0,0,0
"Camp Butmir",0,0,0,1,0,0
"Best Male Singer",0,0,0,0,1,0
"Imam Hussein shrine",0,0,0,1,0,0
"Cy Young",0,0,0,0,1,0
"Treaty of Establishment",0,0,0,0,1,0
"the Peace Memorial Park",0,0,0,1,0,0
"the White House Rose Garden Monday",0,0,1,0,0,0
"Chaos",0,0,0,0,1,0
"the Embassy of Oman",0,0,0,1,0,0
"@dalailama",0,0,0,0,1,0
"Strategic Petroleum Reserve",0,1,0,0,0,0
"Haitian Creole",0,0,0,0,1,0
"Saint Peter 's Square",0,0,0,1,0,0
"the Church of the Nativity",0,0,0,1,0,0
"Pol e Charkhi",0,0,0,1,0,0
"French 's Mustard",0,0,0,0,1,0
"Bow Street",0,1,0,0,0,0
"Primimoda Gallery",0,1,0,0,0,0
"the Great Pyramids of Egypt",0,0,0,1,0,0
"Peace Memorial Park",0,1,0,0,0,0
"Haqooq-i-Zan",0,0,0,0,1,0
"Please",0,0,0,0,1,0
"Shaheen II",0,0,0,0,1,0
"Than Him",0,0,0,0,1,0
"Manger Square",0,1,0,0,0,0
"Sydney Harbor Saturday",0,0,0,1,0,0
"the Melbourne Cricket Ground",0,0,0,1,0,0
"NRC Handelsblad",0,0,0,0,1,0
"Iron Lady",0,0,0,0,1,0
"the White House Saturday",0,0,0,1,0,0
"Naked",0,0,0,0,1,0
"Downing Street",1,0,0,0,0,0
"London Avenue Canals",0,1,0,0,0,0
"Iles Kerguelen",0,1,0,0,0,0
"the Hubble Space Telescope",0,0,1,0,0,0
"Miltzow",1,0,0,0,0,0
"Basilica",0,0,0,0,1,0
"the John F. Kennedy airport",0,0,0,1,0,0
"Red Mosque",0,1,0,0,0,0
"Hobart Boulevard Elementary School",0,1,0,0,0,0
"the Pul i Charki",0,0,0,1,0,0
"Nuclear Non-Proliferation",0,0,0,0,1,0
"The Tu 160",0,0,0,1,0,0
"the USS Arizona Memorial",0,0,1,0,0,0
"Silk Road",0,1,0,0,0,0
"International Convention Center",0,1,0,0,0,0
"the National Palace",0,0,1,0,0,0
"Caesar 's Palace Hotel Casino",0,0,0,1,0,0
"the Silk Road",0,0,0,1,0,0
"a Shi'ite mosque",0,0,0,1,0,0
"the International Space Station",0,1,0,0,0,0
"Didadgah",0,0,0,0,1,0
"two Sunni Mosques",0,0,0,1,0,0
"Broadway",0,1,0,0,0,0
"Saltillo",0,0,0,0,1,0
"St. Peter 's Basilica",0,0,1,0,0,0
"The Lower House of Russia 's Parliament the State Duma",0,0,0,1,0,0
"McCloud",0,0,0,0,1,0
"settlement",0,0,0,0,1,0
"Fort Campbell",0,0,0,0,1,0
"Kabul Kandahar highway",0,0,0,1,0,0
"Soul",0,0,0,0,1,0
"Da Vinci Code",0,0,0,0,1,0
"Fort McPherson",0,1,0,0,0,0
"Kryvorizhstal mill",0,0,0,1,0,0
"the Bratislava Trnava highway",0,0,0,1,0,0
"the Stade de France",0,0,1,0,0,0
"The Queen",0,0,0,0,1,0
