Entity,COR,INC,PAR,SPU,MIS,IGN
"Auschwitz",0,1,0,0,0,0
"al-Jazeera",0,0,0,0,1,0
"Notting Hill",0,0,0,0,1,0
"the Nobel Sanctuary",0,0,1,0,0,0
"s Seismological Center",0,0,0,1,0,0
"the Smithsonian Castle",0,0,1,0,0,0
"Sambadrome",0,1,0,0,0,0
"the Traders Hotel",0,0,0,1,0,0
"Karkh Prison",0,1,0,0,0,0
"Haifa Street",0,1,0,0,0,0
"Nevsky Prospekt",0,1,0,0,0,0
"St. Peter ' s Basilica",0,0,1,0,0,0
"Mall",0,1,0,0,0,0
"the Baghdad Convention Center",0,0,1,0,0,0
"the South Korean Embassy",0,0,1,0,0,0
"the Australian Embassy",0,0,0,1,0,0
"the Park Avenue Armory",0,0,0,1,0,0
"Paya Lebar Air Base",0,0,0,1,0,0
"Shebaa Farms",0,1,0,0,0,0
"Torkham",0,1,0,0,0,0
"Yad Vashem",0,1,0,0,0,0
"Ghazala Gardens",0,1,0,0,0,0
"the Japanese Embassy",0,0,1,0,0,0
"Parchin",0,1,0,0,0,0
"A9 motorway",0,0,0,1,0,0
"Stadium of Light",1,0,0,0,0,0
"the Pol e Charkhi jail",0,0,0,1,0,0
"the Prudential Building",0,0,0,1,0,0
"the Sigou Coal Mine",0,0,0,1,0,0
"the Summit of the Americas",0,0,0,1,0,0
"Shi'ite",0,1,0,0,0,0
"Wolf Trap National Park",0,1,0,0,0,0
"the Princess Juliana International Airport",0,0,1,0,0,0
"Nanhai Park",0,1,0,0,0,0
"Rice ' s hotel",0,0,0,1,0,0
"s Hadassah Hospital",0,0,1,0,0,0
"Babri mosque",0,0,0,1,0,0
"the World Trade Center",0,0,0,1,0,0
"The Volganeft 139",0,0,0,1,0,0
"the Western Wall",0,0,1,0,0,0
"Imam Hussein",0,1,0,0,0,0
"the South Bank Arts Center",0,0,0,1,0,0
"Beijing International Airport",0,1,0,0,0,0
"the Myitsone Dam",0,0,1,0,0,0
"the Queensland Museum",0,0,0,1,0,0
"s Palestine Hotel",0,0,0,1,0,0
"the Abdel Qadir Gilani Mosque",0,0,0,1,0,0
"Culture Minister",0,0,0,0,1,0
"the New Orleans Arena",0,0,0,1,0,0
"Kish Island",0,1,0,0,0,0
"the Line of Control",0,0,1,0,0,0
"The Kandill Observatory",0,0,0,1,0,0
"Soyuzcapsule",0,0,0,0,1,0
"iTunes",0,0,0,0,1,0
"a Great Dane",0,0,0,1,0,0
"s Martyrs Square",0,0,0,1,0,0
""" Jama Masjid """,0,0,0,1,0,0
"La Maddalena",0,1,0,0,0,0
"s Pudong International Airport",0,0,1,0,0,0
"s Old Town quarter",0,0,0,1,0,0
"Mercy",0,1,0,0,0,0
"Mecca Mashjid",0,0,0,1,0,0
"the South American Community of Nations",0,0,1,0,0,0
"Typhoon Sepat",0,1,0,0,0,0
"the John F. Kennedy Hospital",0,0,0,1,0,0
"S. Abu Ghraib",0,0,1,0,0,0
"s Tiananmen Square",0,0,0,1,0,0
"Ronald Reagan National airport",0,0,1,0,0,0
"the Hanoi Botanical Garden",0,0,0,1,0,0
"the Beijing Zoo",0,0,1,0,0,0
"the White House",0,0,0,1,0,0
"Olympic Stadium",1,0,0,0,0,0
"Iles Eparses",0,1,0,0,0,0
"Main Street",0,1,0,0,0,0
"M By Madonna",0,0,0,0,1,0
"Newseum",1,0,0,0,0,0
"Fort Sam Houston",0,1,0,0,0,0
"the Russian Embassy",0,0,1,0,0,0
"O'Hare International Airport",0,1,0,0,0,0
"the Lincoln Memorial",0,0,0,1,0,0
"Segway",0,0,0,1,0,0
"Kremlin",0,1,0,0,0,0
"Charles De Gaulle",1,0,0,0,0,0
"DN Galan",0,1,0,0,0,0
"the Delray Beach International",0,0,1,0,0,0
"the Chinese Embassy",0,0,1,0,0,0
"Zhulyany airport",0,1,0,0,0,0
"Fort Wayne",0,1,0,0,0,0
"the Great Pyramids",0,0,0,1,0,0
"Alamodome",0,1,0,0,0,0
"Spin Boldak highway",0,0,0,1,0,0
"bisphenol A",0,0,0,0,1,0
"Rose Bowl",0,0,0,1,0,0
"the Nahal Oz",0,0,0,1,0,0
"the Al Nida Mosque",0,0,0,1,0,0
"the Berlin Wall",0,0,0,1,0,0
"the Abu Ghraib",0,0,1,0,0,0
"s Studio 7",0,0,0,1,0,0
"Tiananmen",0,1,0,0,0,0
"Bayfront Medical Center",0,1,0,0,0,0
"Ai n't That a Shame",0,0,0,0,1,0
"Maariv",0,0,0,0,1,0
"beatboxing",0,0,0,0,1,0
"Baidoa ' s airport",0,0,0,1,0,0
"Christopher Hotel",0,0,0,0,1,0
"the Kennedy Space Center",0,0,0,1,0,0
"St. George ' s Park",0,0,0,1,0,0
"Eden Gardens",0,1,0,0,0,0
"the Great Smoky Mountains National Park",0,0,1,0,0,0
"the Swiss Embassy",0,0,0,1,0,0
"Tiananmen Square",0,1,0,0,0,0
"START I",0,0,0,0,1,0
"Yankee Stadium",0,1,0,0,0,0
"the Great Hall",0,0,0,1,0,0
"Sonntags-Blick",0,0,0,0,1,0
"Acropolis",0,1,0,0,0,0
"Madison Square Garden",0,1,0,0,0,0
"the Information Superhighway",0,0,1,0,0,0
"Buddhism",0,0,0,0,1,0
"Topol-M",0,0,0,0,1,0
"Alec Station",0,1,0,0,0,0
"Souq al Ghazl",0,0,0,1,0,0
"Khan Younis",0,1,0,0,0,0
"s Neverland Ranch",0,0,0,1,0,0
"Camp David",1,0,0,0,0,0
"s Convention Palace",0,0,1,0,0,0
"the Khurul Monastery",0,0,1,0,0,0
"Askar camp",0,0,0,1,0,0
"s al Azhar Mosque",0,0,0,1,0,0
"the Spanish Embassy",0,0,1,0,0,0
"Fort Hood",0,1,0,0,0,0
"Bisphenol A",0,0,0,0,1,0
"the Los Angeles International Airport",0,0,1,0,0,0
"mbalax",0,0,0,0,1,0
"Edgware Road",0,0,0,1,0,0
"the American Hospital",0,0,0,1,0,0
"Pul-e-Charkhi",0,0,0,0,1,0
"Baghdad International Airport",1,0,0,0,0,0
"World Trade Center",0,0,0,1,0,0
"Neverland",0,1,0,0,0,0
"Our Lady of Perpetual Help Basilica",0,0,1,0,0,0
"Red Fort",0,1,0,0,0,0
"hip-hop",0,0,0,0,1,0
"s Central Cemetery",0,0,0,1,0,0
"the Panama Canal",0,0,1,0,0,0
"the DN Galan",0,0,0,1,0,0
"the United Nations",0,0,1,0,0,0
"Arc de Triomphe",0,0,0,0,1,0
"the Israel Embassy",0,0,0,1,0,0
"Policharki Prison",0,1,0,0,0,0
"Adi Abeto prison",0,0,1,0,0,0
"Style Icon of the",0,0,0,0,1,0
"Herald Square",0,1,0,0,0,0
"Papa 's Got a Brand New Bag",0,0,0,0,1,0
"Semana",0,0,0,0,1,0
"the Piazza Massaua",0,0,0,1,0,0
"San Petronio",0,0,0,0,1,0
"S. Bagram Air Force Base",0,0,0,1,0,0
"Pearl Harbor",0,1,0,0,0,0
"the Burma Embassy",0,0,0,1,0,0
"Lincoln Center",0,1,0,0,0,0
"Drapchi Prison",0,1,0,0,0,0
"Taksim square",0,0,0,1,0,0
"Graceland",0,1,0,0,0,0
"Camp Sara",0,1,0,0,0,0
"Balad Air Base",1,0,0,0,0,0
"Space Station Saturday",0,0,0,0,1,0
"the Olympic Stadium",0,0,1,0,0,0
"the San Diego Zoo",0,0,1,0,0,0
"The M 1 motorway",0,0,0,1,0,0
"the Universidad de los Andes",0,0,0,1,0,0
"the Val d ' Oise",0,0,0,1,0,0
"the Zim Asia",0,0,1,0,0,0
"Nobel-Prize",0,0,0,0,1,0
"the Palace of the Revolution",0,0,1,0,0,0
"Heathrow Airport",1,0,0,0,0,0
"the National Botanical Gardens",0,0,1,0,0,0
"Camp Cropper",0,1,0,0,0,0
"Dera Ghazi Khan",0,0,0,1,0,0
"Colosseum",0,1,0,0,0,0
"Revolution Square",0,1,0,0,0,0
"Angor Wat",0,1,0,0,0,0
"Mir",0,0,1,0,0,0
"Port au Prince",0,0,0,1,0,0
"Insein prison",0,0,1,0,0,0
"BPA",0,0,0,0,1,0
"MacArthur Park",0,1,0,0,0,0
"a Circle K",0,0,0,1,0,0
"the Diaoyu State Guest House",0,0,1,0,0,0
"The Simple Life",0,0,0,0,1,0
"17th Street",0,1,0,0,0,0
"Qur'an",0,0,0,0,1,0
"the Radisson Hotel",0,0,1,0,0,0
"the Mayo Clinic",0,0,0,1,0,0
"International Space Station",1,0,0,0,0,0
"Panama Canal",1,0,0,0,0,0
"Virunga National Park",0,1,0,0,0,0
"Cite Soleil",0,1,0,0,0,0
"Qurans",0,0,0,1,0,0
"the Israeli Consulate",0,0,1,0,0,0
"Saint Pierre",0,1,0,0,0,0
"Eagle Base",0,1,0,0,0,0
"Bonny",0,1,0,0,0,0
"Keys",0,1,0,0,0,0
"Grand Canyon National Park",0,1,0,0,0,0
"Pul i Charki",0,0,0,1,0,0
"Cirque Lodge",0,1,0,0,0,0
"Irwindale Speedway",1,0,0,0,0,0
"Sidnaya",0,0,0,0,1,0
"the Brazilian Embassy",0,0,0,1,0,0
"the Solar Dynamics Observatory",0,0,0,1,0,0
"the Lake of Excellence",0,0,0,1,0,0
"Tube Station",0,0,1,0,0,0
"the Imperial War Museum",0,0,1,0,0,0
"the Holy Land",0,0,0,1,0,0
"Group-B",0,0,0,0,1,0
"the Gomoa Buduburam Refugee Camp",0,0,0,1,0,0
"Srinagar Life",0,1,0,0,0,0
"Keesler Air Base",0,1,0,0,0,0
"Blueberry Hill",0,0,0,0,1,0
"Palme d'Or",0,0,0,0,1,0
"Secrets & Lies",0,0,0,0,1,0
"the Delray Beach Tennis Center",0,0,0,1,0,0
"The Hubble Space Telescope",0,0,1,0,0,0
"Ramstein Air Base",0,1,0,0,0,0
"Dodger Stadium",0,1,0,0,0,0
"Superdome",0,0,0,1,0,0
"NWR Complex",0,0,0,1,0,0
"Tomb of the Unknowns",0,0,0,1,0,0
"s Great Hall of the People China",0,0,0,1,0,0
"Aleg",0,0,0,1,0,0
"Government House",0,1,0,0,0,0
"the Arak facility",0,0,0,1,0,0
"Kommersant",0,0,0,0,1,0
"Tropical Storm Earl",0,1,0,0,0,0
"Hauts de Seine",0,0,0,1,0,0
"Camp al Tahreer",0,0,0,1,0,0
"Abu Ghraib",1,0,0,0,0,0
"Bagram Air Base",0,1,0,0,0,0
"Eden Park",0,1,0,0,0,0
"Sahafi Hotel",0,1,0,0,0,0
"Capitol",1,0,0,0,0,0
"the White House Rose Garden",0,0,1,0,0,0
"Joseph ' s Tomb",0,0,0,1,0,0
"Pul e Charkhi",0,0,0,1,0,0
"Stade Général Seyni Kountché",0,0,0,0,1,0
"Pentagon",0,1,0,0,0,0
"Kozloduy",0,1,0,0,0,0
"Bunia airport",0,1,0,0,0,0
"John F. Kennedy airport",0,1,0,0,0,0
"Save Al Aqsa Mosque",0,1,0,0,0,0
"Firebase Ripley",0,1,0,0,0,0
"La Repubblica",0,1,0,0,0,0
"s International Convention Center",0,0,1,0,0,0
"Red Notice",0,0,0,0,1,0
"Louis Armstrong International Airport",0,1,0,0,0,0
"the Embassy",0,0,0,1,0,0
"U",0,0,1,0,0,0
"Stade General",0,0,0,1,0,0
"the Washington Monument",0,0,1,0,0,0
"Jeep",0,0,0,0,1,0
"Marriott",0,1,0,0,0,0
"the Antwerp World Diamond Center",0,0,1,0,0,0
"Zirve",0,1,0,0,0,0
"State Guest House",1,0,0,0,0,0
"the South Lawn",0,0,0,1,0,0
"the Sufa , Karni",0,0,0,1,0,0
"Wat Tham Krabok",0,1,0,0,0,0
"the Newport Chemical Depot",0,0,0,1,0,0
"the Tomb of Poland ' s Unknown Soldier",0,0,0,1,0,0
"Web",0,0,0,0,1,0
"the Al Marwa",0,0,0,1,0,0
"Roosevelt Hotel",0,0,0,1,0,0
"Rose Garden",0,1,0,0,0,0
"Franz Klammer",0,1,0,0,0,0
"La Peineta",0,1,0,0,0,0
"al Rasul al Aadham",0,0,0,1,0,0
"Vatican",0,1,0,0,0,0
"Olympic",0,1,0,0,0,0
"Smells Like Teen Spirit",0,0,0,0,1,0
"the Water Cube",0,0,0,1,0,0
"Citicorp Building",0,0,0,1,0,0
"the Belarus Embassy",0,0,0,1,0,0
"Brook Park",0,1,0,0,0,0
"Saint Peter ' s Square",0,0,0,1,0,0
"s People ' s Police College",0,0,0,1,0,0
"Camp Buehring",0,1,0,0,0,0
"Washington ' s National Mall",0,0,1,0,0,0
"the Kabul International Airport",0,0,1,0,0,0
"Parthenon",0,1,0,0,0,0
"Port au Prince ' s pro Aristide",0,0,0,1,0,0
"the National Mall",0,0,1,0,0,0
"Madonna",0,1,0,0,0,0
"British pound",0,0,0,0,1,0
"Finsbury Park",0,1,0,0,0,0
"NAACP Image Award",0,0,0,0,1,0
"Camp Pendleton",0,1,0,0,0,0
"the Islamic Studies Center",0,0,1,0,0,0
"Guantanamo",0,1,0,0,0,0
"Fort Campbell",1,0,0,0,0,0
"THE Warden of a Penitentiary",0,0,0,1,0,0
"the Notre Dame Cathedral",0,0,1,0,0,0
"Val de Grace",0,0,0,1,0,0
"Arlington National Cemetery",0,1,0,0,0,0
"Washington ' s Kennedy Center",0,0,1,0,0,0
"Crittercam",0,0,0,0,1,0
"Camp Butmir",0,0,0,1,0,0
"the Peace Memorial Park",0,0,0,1,0,0
"the Empire State Building",0,0,0,1,0,0
"Disneyland",0,1,0,0,0,0
"Sopranos",0,0,0,0,1,0
"Camp X Ray",0,0,0,1,0,0
"the Glen Canyon Dam",0,0,1,0,0,0
"Washington Monument",1,0,0,0,0,0
"Haitian Creole",0,0,0,0,1,0
