Entity,COR,INC,PAR,SPU,MIS,IGN
"one hand",0,0,0,0,1,0
"variant of the language",0,0,0,0,1,0
"the International Date Line",0,0,0,0,1,0
"the main entrance",0,0,0,0,1,0
"A runway",0,0,0,0,1,0
"profile they fill out for me",0,0,0,0,1,0
"Talau national park",0,0,0,0,1,0
"Staccato",0,1,0,0,0,0
"a long way",0,0,0,0,1,0
"your head",0,0,0,0,1,0
"traditional taonga",0,0,0,0,1,0
"text",0,0,0,0,1,0
"the airport",0,0,0,0,1,0
"The e-mail",0,0,0,0,1,0
"much money",0,0,0,0,1,0
"the building",0,0,0,0,1,0
"the architecture",0,0,0,0,1,0
"the Kennedy Space Center Visitor Complex",0,0,1,0,0,0
"one another",0,0,0,0,1,0
"wire rack",0,0,0,0,1,0
"a migration office",0,0,0,0,1,0
"the ice",0,0,0,0,1,0
"the hangar",0,0,0,0,1,0
"anything",0,0,0,0,1,0
"the urban core",0,0,0,0,1,0
"New York bar",0,0,0,0,1,0
"Washington Dulles International Airport",1,0,0,0,0,0
"northern point of mainland Guadeloupe",0,0,0,0,1,0
"a broom",0,0,0,0,1,0
"Some",0,0,0,0,1,0
"an improv theater company",0,0,0,0,1,0
"a local bar / nightclub",0,0,0,0,1,0
"a packed hall",0,0,0,0,1,0
"Benin",0,0,0,0,1,0
"Isfahan Shahid Beheshti IATA",0,0,1,0,0,0
"Downtown",0,0,0,0,1,0
"Chrome",0,0,0,0,1,0
"the heartland of America",0,0,0,0,1,0
"the mirror",0,0,0,0,1,0
"your home",0,0,0,0,1,0
"their bludger",0,0,0,0,1,0
"Hajj",0,0,0,1,0,0
"185 Bridge Plaza North",1,0,0,0,0,0
"the foraging arena",0,0,0,0,1,0
"Clearwater , Florida",0,0,0,0,1,0
"the paper",0,0,0,0,1,0
"tight fitting clothing",0,0,0,0,1,0
"the capital city of Greece",0,0,0,0,1,0
"Katy Trail",0,0,1,0,0,0
"Neiafu Harbour",0,0,0,0,1,0
"a back room",0,0,0,0,1,0
"each container",0,0,0,0,1,0
"a book",0,0,0,0,1,0
"additional paper",0,0,0,0,1,0
"fort lee",0,0,0,0,1,0
"a central area",0,0,0,0,1,0
"rice cooker",0,0,0,0,1,0
"a fork",0,0,0,0,1,0
"Here",0,0,0,0,1,0
"aphid honeydew",0,0,0,0,1,0
"the product",0,0,0,0,1,0
"the Great Plains",1,0,0,0,0,0
"Beau Soleil",0,0,0,0,1,0
"her graphic novel Angel Catbird",0,0,0,0,1,0
"your garbage can",0,0,0,0,1,0
"a funnel",0,0,0,0,1,0
"an empty",0,0,0,0,1,0
"Lemoine Avenue",0,0,1,0,0,0
"La Pointe des Chateaux",1,0,0,0,0,0
"pitch",0,0,0,0,1,0
"a document file on your computer",0,0,0,0,1,0
"the world",0,0,0,0,1,0
"Piotrkowska Street",1,0,0,0,0,0
"the document",0,0,0,0,1,0
"the Gothic Revival Cathedral Building",0,0,0,0,1,0
"one box",0,0,0,0,1,0
"the gallery",0,0,0,0,1,0
"Henga Lodge",0,0,0,0,1,0
"Baie-Mahault",0,0,0,0,1,0
"Udvar-Hazy Center",0,0,0,0,1,0
"a fun one",0,0,0,0,1,0
"the bib",0,0,0,0,1,0
"Some rice cooker",0,0,0,0,1,0
"Newark Airport",1,0,0,0,0,0
"the container",0,0,0,0,1,0
"a cotton ball",0,0,0,0,1,0
"the mint",0,0,0,0,1,0
"the "" Comeback City",0,0,0,0,1,0
"the thing",0,0,0,0,1,0
"a united Germany",0,0,0,0,1,0
"beak",0,0,0,0,1,0
"Main Street",1,0,0,0,0,0
"the river",0,0,0,0,1,0
"your hotel",0,0,0,0,1,0
"the pan",0,0,0,0,1,0
"a fighter",0,0,0,0,1,0
"a line",0,0,0,0,1,0
"their chute",0,0,0,0,1,0
"taxi",0,0,0,0,1,0
"great vegan cupcake recipe",0,0,0,0,1,0
"the corner of the elevator",0,0,0,0,1,0
"Metro",0,0,1,0,0,0
"their own motor vehicle",0,0,0,0,1,0
"farm",0,0,0,0,1,0
"every page",0,0,0,0,1,0
"Cool clock",0,0,0,0,1,0
"Westchester County Airport",1,0,0,0,0,0
"' pen '",0,0,0,0,1,0
"The document",0,0,0,0,1,0
"NJ",0,0,0,0,1,0
"Telegraph Avenue",0,0,0,0,1,0
"the cliff",0,0,0,0,1,0
"the Internet",0,0,0,0,1,0
"quite a few",0,0,0,0,1,0
"the camera",0,0,0,0,1,0
"the collector",0,0,0,0,1,0
"hard ice",0,0,0,0,1,0
"a notebook",0,0,0,0,1,0
"an airtight lid",0,0,0,0,1,0
"A popular area",0,0,0,0,1,0
"in the back of the paper",0,0,0,0,1,0
"The bib",0,0,0,0,1,0
"your feet",0,0,0,0,1,0
"Wright Patterson Air Force Base",0,0,0,1,0,0
"S Buckeye",0,0,0,0,1,0
"IATA : PHX",0,0,0,0,1,0
"your chute",0,0,0,0,1,0
"A ceramic bowl",0,0,0,0,1,0
"they",0,0,0,0,1,0
"a clean and beautiful downtown",0,0,0,0,1,0
"fodder",0,0,0,0,1,0
"Neiafu town",0,0,0,0,1,0
"the core of the city",0,0,0,0,1,0
"the "" Bully Pulpit """,0,0,0,0,1,0
"one that you",0,0,0,0,1,0
"the location",0,0,0,0,1,0
"The USI art gallery",0,0,0,0,1,0
"10th Street",1,0,0,0,0,0
"Grow Beavertail Cactus",0,0,0,1,0,0
"File photo of interviewee David Titley",0,0,0,0,1,0
"the drink",0,0,0,0,1,0
"that room",0,0,0,0,1,0
"Ground Zero",0,0,0,0,1,0
"an e-mail",0,0,0,0,1,0
"the Inner Ring Road",1,0,0,0,0,0
"bottle of vodka",0,0,0,0,1,0
"one room",0,0,0,0,1,0
"a new city",0,0,0,0,1,0
"Porte d'Enfer",0,0,0,0,1,0
"finger",0,0,0,0,1,0
"the E-meter",0,0,0,0,1,0
"a direction",0,0,0,0,1,0
"the floor",0,0,0,0,1,0
"a barre for practicing",0,0,0,0,1,0
"Łódź",0,0,0,0,1,0
"that aeroplane",0,0,0,0,1,0
"a particle accelerator",0,0,0,0,1,0
"the middle of the elevator",0,0,0,0,1,0
""" like "" clothing",0,0,0,0,1,0
"our land",0,0,0,0,1,0
"Image : David Shankbone",0,0,0,0,1,0
"phone",0,0,0,0,1,0
"beak tip",0,0,0,0,1,0
"into town",0,0,0,0,1,0
"a computer",0,0,0,0,1,0
