Entity,COR,INC,PAR,SPU,MIS,IGN
"a middle - aged carpenter",0,0,0,0,1,0
"Ellwood",0,0,1,0,0,0
"Volesky",1,0,0,0,0,0
"Abboud Qanbar Arabic",0,0,1,0,0,0
"Saddam Hussein",1,0,0,0,0,0
"Robert Ford",0,0,1,0,0,0
"Mevl u",0,0,0,1,0,0
"U. S. Marines",0,0,0,1,0,0
"Hollande",0,0,1,0,0,0
"Ibrahim al Jaafari",0,0,1,0,0,0
"Russell",1,0,0,0,0,0
"his spiritual adviser",0,0,0,0,1,0
"The secretary",0,0,0,0,1,0
"Urem al Kubra",0,0,0,1,0,0
"the investigating officer will follow Brig .",0,0,0,0,1,0
"Imad Fakhoury",0,0,1,0,0,0
"Travis Caughlin",0,0,1,0,0,0
"Ibrahim al - Jaafari",0,0,0,0,1,0
"Minsk",0,0,0,1,0,0
"Sajida Mubarak Atrous al - Rishawi",0,0,0,0,1,0
"Jaish al Ta",0,0,0,1,0,0
"Officer Keating",0,0,1,0,0,0
"Andrew Burns",0,0,1,0,0,0
"DAESH",0,1,0,0,0,0
"Inherent Resolve Commander",0,0,0,0,1,0
"FS Forbin",0,1,0,0,0,0
"Jamal Alzoubi",1,0,0,0,0,0
"the UN High Commissioner for Human Rights",0,0,0,0,1,0
"Tabqa Dam",0,1,0,0,0,0
"Foreign Minister Al - Jubeir",0,0,0,0,1,0
"Boris Johnson",1,0,0,0,0,0
"one child",0,0,0,0,1,0
"the Foreign Secretary",0,0,0,0,1,0
"Karim Wasifi",1,0,0,0,0,0
"Iraqi Prime Minister ‎ Haider al - Abadi",0,0,0,0,1,0
"Shi",0,0,0,1,0,0
"A police officer",0,0,0,0,1,0
"one of the SNCOs",0,0,0,0,1,0
"Dae",0,0,0,1,0,0
"the lead Syrian commander for AQI ' s logistics",0,0,0,0,1,0
"Mohammed",1,0,0,0,0,0
"Near Ayn Isa",0,0,1,0,0,0
"Near Palmyra",0,0,1,0,0,0
"Abu Musab al Zarqawi '",0,0,1,0,0,0
"Palmyra",0,1,0,0,0,0
"Darayya",0,1,0,0,0,0
"Karim",1,0,0,0,0,0
"Isiah L. Booker",0,0,1,0,0,0
"his Chief of Plans",0,0,0,0,1,0
"A spokesman",0,0,0,0,1,0
"Brig.",0,0,0,0,1,0
"Tel Tamer",0,0,1,0,0,0
"Stephen J. Townsend",0,0,1,0,0,0
"Johnson",0,0,1,0,0,0
"Isiah L . Booker",0,0,0,0,1,0
"John J. Thomas",0,0,1,0,0,0
"Peter Cook",0,0,1,0,0,0
"the Prime Minister - designate , Haider al - Abadi",0,0,0,0,1,0
"George Haswani",1,0,0,0,0,0
"Federica Mogherini",0,0,1,0,0,0
"Abu Haidar",1,0,0,0,0,0
"al Ghuraba Brigades",0,0,0,1,0,0
"Assad",1,0,0,0,0,0
"Sadiq",1,0,0,0,0,0
"Rupert Colville",1,0,0,0,0,0
"Zahid Mohammed Rawi",1,0,0,0,0,0
"A U. S.",0,0,0,1,0,0
"Karabilah",0,1,0,0,0,0
