Entity,COR,INC,PAR,SPU,MIS,IGN
"Swansea",0,1,0,0,0,0
"AmA",0,0,0,1,0,0
"RT FamousWomen",0,0,0,1,0,0
"PussyY",0,0,0,1,0,0
"the Jet Black Airpods",0,0,1,0,0,0
"Mindsweep",0,1,0,0,0,0
"Emma",0,1,0,0,0,0
"Que puede saber de cosas del",0,0,0,1,0,0
"office",0,0,0,0,1,0
"MAYWARDForCocaColaPH",0,0,0,0,1,0
"Blegh",0,0,0,1,0,0
"Xantec",0,0,0,0,1,0
"Bio Spot",0,0,0,0,1,0
"138",0,0,0,1,0,0
"Proud",0,0,0,1,0,0
"F Wind",0,0,0,1,0,0
"Tick Cats 5",0,0,0,1,0,0
"pro am",0,0,0,0,1,0
"GTA",0,0,0,0,1,0
"DefyTrump TrumpLeaks DworkinReport",0,0,0,1,0,0
"Blades WHL",0,0,0,1,0,0
"xxxxxx FF Avast AntiVirus",0,0,0,1,0,0
"WANT",0,0,0,1,0,0
"Madden",0,0,0,0,1,0
"ipod",0,0,0,0,1,0
"TRAMP",0,0,0,0,1,0
"WestonLockley RT AwwBieber",0,0,0,1,0,0
"Billion",0,0,0,1,0,0
"wifi chip",0,0,0,0,1,0
"Camron Captions 1",0,0,0,1,0,0
"Jetta",0,0,0,0,1,0
"acer",0,0,0,0,1,0
"Seeyas",0,0,0,1,0,0
"iTake",0,0,0,1,0,0
"Ginger",0,0,0,1,0,0
"NRSC",0,1,0,0,0,0
"S8",0,0,0,1,0,0
"Fantasy",0,0,0,1,0,0
"green tea",0,0,0,0,1,0
"BlackBerry",0,0,0,0,1,0
"YouTube",0,1,0,0,0,0
"ryll",0,0,0,0,1,0
"TRAMPOLINE",0,0,0,0,1,0
"VMB",0,1,0,0,0,0
"Verde",0,0,0,1,0,0
"apache 2",0,0,1,0,0,0
"epipen",0,0,0,0,1,0
"BTS",0,1,0,0,0,0
"mercedes",0,0,1,0,0,0
"oni genji",0,0,0,0,1,0
"Roen belt",0,0,0,0,1,0
"Floyds",0,1,0,0,0,0
"MamaJune WEtv JessicaRabbit https://t",0,0,0,1,0,0
"Merlot",0,0,0,0,1,0
"The Matrix :",0,0,0,1,0,0
"Lizzie",0,1,0,0,0,0
"http://goo",0,0,0,1,0,0
"s horse Marengo",0,0,0,1,0,0
"Notebook",0,0,0,0,1,0
"Ssundee",0,1,0,0,0,0
"Discovery",0,1,0,0,0,0
"WoW",0,0,0,0,1,0
"Mosques",0,0,0,1,0,0
"2K",0,0,0,1,0,0
"RT ThaliaSource",0,0,0,1,0,0
"YouTube RT michael_rizzi",0,0,0,1,0,0
"TOMORROW",0,0,0,1,0,0
"F KING",0,0,0,1,0,0
"The Black Keys "" Lonely Boy """,0,0,0,1,0,0
"cadillac",0,0,0,0,1,0
"ASMR",0,0,0,0,1,0
"Daddarios",0,1,0,0,0,0
"Java Object encryption",0,0,0,0,1,0
"Concorde",1,0,0,0,0,0
"vodka",0,0,0,0,1,0
"Ipad pro",0,0,0,0,1,0
"PEKAN",0,0,0,1,0,0
"GWdK7L7RtR RT 5",0,0,0,1,0,0
"Orban",0,1,0,0,0,0
"BB Bold",0,0,0,0,1,0
"woodprix",0,0,0,0,1,0
"Dot",0,0,0,0,1,0
"Bulbulay",0,1,0,0,0,0
"Percent",0,0,0,1,0,0
"RT uniqueLA :",0,0,0,1,0,0
"Merc",0,0,0,0,1,0
"Digimon",0,0,0,0,1,0
"https://www",0,0,0,1,0,0
"SulahShauchalay",0,0,0,1,0,0
"iPod",0,0,0,0,1,0
"RT KoreaWordID",0,0,0,1,0,0
"Fuck",0,0,0,1,0,0
"OpenSSH",0,0,0,0,1,0
"Morphe Pallette",0,0,0,0,1,0
"MSGNetworks",0,0,0,1,0,0
"SQL",0,0,0,0,1,0
"Put the GoPro",0,0,1,0,0,0
"Naval",0,0,0,1,0,0
"Thinkpad",0,0,0,0,1,0
"heinz",0,0,0,0,1,0
"Belanger",0,0,0,1,0,0
"TeamiPhone RT your_commander",0,0,1,0,0,0
"Dodge Demon",0,0,0,0,1,0
"dabigatran",0,0,0,0,1,0
"STOP",0,0,0,1,0,0
"F Humidity",0,0,0,1,0,0
"Ziploc",0,0,0,0,1,0
"Sellotape",0,0,0,0,1,0
"Caesars",0,1,0,0,0,0
"LMAO",0,0,0,1,0,0
"wifi",0,0,0,0,1,0
"Proof",0,0,0,1,0,0
"GlennTemp",0,0,0,1,0,0
"Barbie",0,0,0,0,1,0
"mini- DP",0,0,0,0,1,0
"A ' s angle",0,0,0,1,0,0
"Gorillaz U",0,0,0,1,0,0
"RT anthonyuJR",0,0,0,1,0,0
"Fila",0,0,0,0,1,0
"mini itx",0,0,0,0,1,0
"ObamacareFail",0,0,0,1,0,0
"mandyjiroux Mandy",0,0,0,1,0,0
"yoga laptop",0,0,0,0,1,0
"Zlatan",0,0,0,0,1,0
"google pixel",0,0,0,0,1,0
"rc var",0,0,0,0,1,0
"Uni",0,0,0,1,0,0
"Unfunny libtard",0,0,0,1,0,0
"RT BLikeHer",0,0,0,1,0,0
"RT NPR",0,0,0,1,0,0
"https://t",0,0,0,1,0,0
"RISUG",0,0,0,1,0,0
"SK II Facial Treatment UV Protection",0,0,0,1,0,0
"SSO",0,0,0,0,1,0
"Pyrion",0,1,0,0,0,0
"KammBe",0,1,0,0,0,0
"SPF 25",0,0,1,0,0,0
"tnt",0,0,0,0,1,0
"YAY 2",0,0,0,1,0,0
"Miranda",0,1,0,0,0,0
"OMG THAT DAB NOOOOOOO 2",0,0,0,1,0,0
"XBOX",0,0,0,0,1,0
"RT MirandaBuzz :",0,0,0,1,0,0
"iOS",0,0,0,0,1,0
"Trump",0,1,0,0,0,0
"Hyper V",0,0,0,0,1,0
"The Replacement",0,0,0,0,1,0
"Tesla",1,0,0,0,0,0
"Challenger",0,0,0,0,1,0
"After Eventide",0,0,0,0,1,0
"RIP turtle cam",0,0,0,1,0,0
"http://www",0,0,0,1,0,0
"TIE Fighter",0,0,0,1,0,0
"FollowTrick TeamFollowBack",0,0,0,1,0,0
"Coke",0,0,0,0,1,0
"RT BeliebInCodyyy",0,0,0,1,0,0
"BestFans 2017 5",0,0,0,1,0,0
"keeplonghair 264 Citizens of Earth",0,0,0,1,0,0
"Music",0,0,1,0,0,0
"MTVStars",0,0,0,1,0,0
"http://bit",0,0,0,1,0,0
"Vinkare",0,1,0,0,0,0
"All Clad",1,0,0,0,0,0
"Scorpio",0,0,0,1,0,0
"Halo Reach",0,0,0,0,1,0
"Dior",0,0,0,0,1,0
"RT UpornTube 2",0,0,0,1,0,0
"CoS",0,0,0,0,1,0
"dva",0,0,0,0,1,0
"Lyft",0,0,0,0,1,0
"overwatch",0,0,0,0,1,0
"Shut",0,0,0,1,0,0
"ipad",0,0,0,0,1,0
"Epic Mickey",0,0,0,0,1,0
"Demeyere",0,0,0,0,1,0
"GT-R",0,0,0,0,1,0
"LastChristmas",0,0,0,1,0,0
"Ad6ruIyr5M Help to Stop Cruel Treatment of Monkeys",0,0,0,1,0,0
"TI",0,1,0,0,0,0
"Snap",0,0,0,1,0,0
"THE NEW NWA",0,0,0,1,0,0
"ozee",0,0,0,0,1,0
"bord",0,0,0,0,1,0
"google",0,0,0,0,1,0
"StarWars TheCloneWars JV",0,0,0,1,0,0
"Cybermen",0,0,0,1,0,0
"Stray Links Food http://portfo",0,0,0,1,0,0
"Episcopal 48",0,0,0,1,0,0
"Vanc",0,0,0,1,0,0
"Amazon S 3",1,0,0,0,0,0
"QB Cardel Jones",0,0,0,1,0,0
"WiFi",1,0,0,0,0,0
"XI",0,0,1,0,0,0
"SLR",0,0,0,0,1,0
"SWEETY",0,0,0,1,0,0
"audi",0,0,1,0,0,0
"RT OscarBlandi",0,0,0,1,0,0
"Monopoly",0,0,0,0,1,0
"SB1070",1,0,0,0,0,0
"jackbox",0,0,0,0,1,0
"RT RatihNurma",0,0,0,1,0,0
"MZNlOyvAJ4 Clean Sweep",0,0,0,1,0,0
"Jacquelin",0,1,0,0,0,0
"bmw",0,0,1,0,0,0
"Belief",0,0,0,1,0,0
"Mirai",0,0,0,0,1,0
"Playstation 4",1,0,0,0,0,0
"m jus tryna",0,0,0,1,0,0
"F MGWV",0,0,0,1,0,0
"MW necklace",0,0,0,0,1,0
"Burrows",0,0,0,1,0,0
"Halo",0,0,0,0,1,0
"Thanku",0,0,0,1,0,0
"minecraft",0,0,0,0,1,0
"BLD",0,0,0,0,1,0
"Justin Bieber",0,1,0,0,0,0
"Da nAh NAH",0,0,0,1,0,0
"Bebs",0,1,0,0,0,0
"Internet",0,0,0,0,1,0
"TOS font",0,0,0,0,1,0
"Costello",0,1,0,0,0,0
"FRIDAY",0,0,0,1,0,0
"chipotle",0,0,0,0,1,0
"ITS OVER 9000",0,0,0,1,0,0
*TOTAL*,7,25,10,98,168,0
